unique_id,timestamp,x_shape,eval_test,model_name,model_version,model_version_note,runtime
38f44787-78f9-499d-ae6f-4a5951a2b404,1617963932.776783,"(581, 6)",337,Germany-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
1efedef4-2799-4856-814d-e9301b522589,1617963932.9562857,"(578, 6)",2000,EIRE-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
4829c1e9-0dc0-4006-8027-42790d53120a,1617963933.1272998,"(581, 6)",595,France-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
b154394c-b7ef-4ee5-b54d-f55a6b4d36e0,1617963933.2898767,"(566, 6)",114,Netherlands-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
fefd65e5-fcdb-4fc2-8950-85d126bc5999,1617963933.4367657,"(573, 6)",168,Spain-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
2d8a1881-2f40-48fc-9ed2-bd050dba4d86,1617963933.5458326,"(563, 6)",4122,Norway-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
54f38857-78a1-4dc3-bfe1-a0cfef244b6f,1617963933.6279783,"(398, 6)",902,Hong Kong-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
a7840644-2a06-4b1e-8803-bacc0f8523e8,1617963933.7110856,"(418, 6)",2328,Singapore-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
6af9343c-da10-4ec8-9e9d-e5fd91201f26,1617964039.4490547,"(581, 6)",73875,all-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
67225977-dcaa-46a6-a9c1-ad20e602e968,1617964039.4681919,"(581, 6)",72681,United Kingdom-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
35275341-59f6-425b-b588-a070188b8e05,1617964039.485746,"(581, 6)",1334,Portugal-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
946f9d77-522b-4c9d-9936-f3fb7ad96772,1617964039.503943,"(581, 6)",865,Germany-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
5217e1fd-b935-4835-abae-d280170a7d2b,1617964039.5197742,"(578, 6)",3418,EIRE-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
a390d7f4-3638-4049-adc7-a78ca7ef5b36,1617964039.5356362,"(581, 6)",1094,France-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
f0673e03-b232-4916-bcfe-7db008685e9d,1617964039.5509763,"(566, 6)",254,Netherlands-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
a6c354c3-2bc2-4dd5-82ed-b9b4a67b4b60,1617964039.5674222,"(573, 6)",805,Spain-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
fe328842-a2c4-4530-ab3d-6184b2361667,1617964039.5898798,"(563, 6)",7001,Norway-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
f0786b83-1b89-44b7-adbd-8f32a84f3079,1617964039.6066782,"(398, 6)",1592,Hong Kong-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
62d2c8f8-045c-466f-9c82-07cc9343d171,1617964039.6244793,"(418, 6)",2592,Singapore-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
8b1e3d8b-55ea-4f3e-9904-e72d36ec6a0e,1617964039.8963227,"(581, 6)",24773,all-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
e66cb836-9c53-4a2b-a3ad-3c4c533e7dbd,1617964040.1227744,"(581, 6)",24229,United Kingdom-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
fa5b0c71-efdf-4de2-8e37-c5befbe30431,1617964040.2626705,"(581, 6)",1007,Portugal-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
dbe54687-ebfc-4a42-9af5-42b296b48a98,1617964040.4479208,"(581, 6)",337,Germany-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
b59ed5de-0beb-437c-ac04-1f83e8d570c8,1617964040.646668,"(578, 6)",2000,EIRE-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
5e5cbea1-8318-46f4-a158-b332a8b825df,1617964040.8442361,"(581, 6)",595,France-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
8e2a02ae-84a8-4444-9e2c-7cc6d1d98cfe,1617964041.007699,"(566, 6)",114,Netherlands-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
30567589-0ff8-4f46-95fb-2131378c21ca,1617964041.1573308,"(573, 6)",168,Spain-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
056355fa-d82a-4551-b545-d8c52bff039a,1617964041.2605016,"(563, 6)",4122,Norway-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
9250fc69-0ab3-43c1-aab7-a8a2a390b225,1617964041.3464787,"(398, 6)",902,Hong Kong-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
22429643-1cf9-49ea-b1d1-0928e15b4bc6,1617964041.4282255,"(418, 6)",2328,Singapore-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
fb2bbf05-3b3c-4fd1-bdf8-d5020a89e818,1617965757.9017608,"(581, 6)",73875,all-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
30f63fd4-ed2b-44ae-8c70-262f5659e0c9,1617965757.9216046,"(581, 6)",72681,United Kingdom-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
2737a4a4-4407-4ff3-9306-86d1031fc0f5,1617965757.938034,"(581, 6)",1334,Portugal-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
9be99654-2a97-4768-af64-abb7d18cd5d4,1617965757.9570131,"(581, 6)",865,Germany-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
249f6270-4173-4c09-9172-b292bed3ba4a,1617965757.9766586,"(578, 6)",3418,EIRE-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
f9dad9b3-4576-428c-b0f7-60956d1561bf,1617965757.995179,"(581, 6)",1094,France-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
16d0fe01-6ca1-496b-8f85-d120928889b9,1617965758.0123315,"(566, 6)",254,Netherlands-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
40eda0a1-7fd8-49dd-b129-b20d62bfbc66,1617965758.029894,"(573, 6)",805,Spain-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
59e2abf6-5040-4bca-a8aa-33deaa263abd,1617965758.0483766,"(563, 6)",7001,Norway-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
67772e28-d4ac-4922-a68a-30e6af73f125,1617965758.065944,"(398, 6)",1592,Hong Kong-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
5988228a-77f3-4c52-9661-694383b8bfc5,1617965758.0835385,"(418, 6)",2592,Singapore-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
6e12bb1f-6687-4ef8-bee6-d4ba5e01c45c,1617965758.363983,"(581, 6)",24773,all-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
546be4ef-1f42-44f4-ad74-2207eeebe57d,1617965758.596839,"(581, 6)",24229,United Kingdom-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
